team,team_country,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_against,avg_age_against,possession_against,games_against,games_starts_against,minutes_against,minutes_90s_against,goals_against,assists_against,goals_assists_against,goals_pens_against,pens_made_against,pens_att_against,cards_yellow_against,cards_red_against,goals_per90_against,assists_per90_against,goals_assists_per90_against,goals_pens_per90_against,goals_assists_pens_per90_against,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,shots_against,shots_on_target_against,shots_on_target_pct_against,shots_per90_against,shots_on_target_per90_against,goals_per_shot_against,goals_per_shot_on_target_against,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,minutes_per_game_against,minutes_pct_against,minutes_per_start_against,games_complete_against,games_subs_against,minutes_per_sub_against,unused_subs_against,points_per_game_against,on_goals_for_against,on_goals_against_against,plus_minus_against,plus_minus_per90_against,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,cards_yellow_red_against,fouls_against,fouled_against,offsides_against,crosses_against,interceptions_against,tackles_won_against,pens_won_against,pens_conceded_against,own_goals_against,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_games_against,gk_games_starts_against,gk_minutes_against,gk_goals_against_against,gk_goals_against_per90_against,gk_shots_on_target_against_against,gk_saves_against,gk_save_pct_against,gk_wins_against,gk_ties_against,gk_losses_against,gk_clean_sheets_against,gk_clean_sheets_pct_against,gk_pens_att_against,gk_pens_allowed_against,gk_pens_saved_against,gk_pens_missed_against,gk_pens_save_pct_against
Congo DR,Congo DR,17,29.5,31.0,2,22,180,2.0,1,1,2,1,0,0,2,0,0.5,0.5,1.0,0.5,1.0,17,29.2,69.0,2,22,180,2.0,2,2,4,2,0,0,5,0,1.0,1.0,2.0,1.0,2.0,15,3,20.0,7.5,1.5,0.07,0.33,27,10,37.0,13.5,5.0,0.07,0.2,90,100,81,12,10,20,20,0.5,1,2,-1,-0.5,90,100,81,15,7,24,23,2.0,2,1,1,0.5,0,26,20,2,23,12,21,,,0,0,21,24,10,35,12,12,,,0,2,2,180,2,1.0,10,8,80.0,0,1,1,0,0.0,0,0,0,0,,2,2,180,1,0.5,3,2,66.7,1,1,0,1,50.0,0,0,0,0,
Croatia,Croatia,19,29.1,53.0,2,22,180,2.0,3,3,6,3,0,0,1,0,1.5,1.5,3.0,1.5,3.0,19,28.2,47.0,2,22,180,2.0,4,3,7,3,1,1,1,0,2.0,1.5,3.5,1.5,3.0,16,7,43.8,8.0,3.5,0.19,0.43,30,12,40.0,15.0,6.0,0.1,0.25,90,100,79,12,10,25,20,1.5,3,4,-1,-0.5,90,100,79,13,9,11,20,1.5,4,3,1,0.5,0,24,28,3,30,12,13,,,0,0,29,24,1,42,11,12,,,0,2,2,180,4,2.0,12,8,66.7,1,0,1,1,50.0,1,1,0,0,0.0,2,2,180,3,1.5,7,4,57.1,1,0,1,0,0.0,0,0,0,0,
Curaçao,Curaçao,19,29.1,30.0,2,22,180,2.0,1,0,1,1,0,0,5,0,0.5,0.0,0.5,0.5,0.5,19,28.0,70.0,2,22,180,2.0,7,6,13,6,1,1,1,0,3.5,3.0,6.5,3.0,6.0,18,5,27.8,9.0,2.5,0.06,0.2,53,27,50.9,26.5,13.5,0.11,0.22,90,100,84,14,8,18,22,0.5,1,7,-6,-3.0,90,100,84,13,9,18,21,2.0,7,1,6,3.0,0,21,25,3,8,24,14,,,0,0,25,19,1,44,17,24,,,0,2,2,180,7,3.5,26,19,73.1,0,1,1,1,50.0,1,1,0,0,0.0,2,2,180,1,0.5,5,4,80.0,1,1,0,1,50.0,0,0,0,0,
Czechia,Czech Republic,21,28.2,42.7,3,33,270,3.0,2,2,4,2,0,0,1,0,0.67,0.67,1.33,0.67,1.33,21,27.6,57.3,3,33,270,3.0,6,5,11,5,1,1,4,0,2.0,1.67,3.67,1.67,3.33,34,8,23.5,11.33,2.67,0.06,0.25,43,15,34.9,14.33,5.0,0.12,0.33,90,100,80,20,14,22,29,0.33,2,6,-4,-1.33,90,100,80,20,13,20,30,2.33,6,2,4,1.33,0,37,31,5,57,19,19,,,0,0,32,35,5,42,27,23,,,0,3,3,270,6,2.0,15,9,60.0,0,1,2,0,0.0,1,1,0,0,0.0,3,3,270,2,0.67,8,6,75.0,2,1,0,1,33.3,0,0,0,0,
Côte d'Ivoire,Côte d'Ivoire,18,26.0,44.5,2,22,180,2.0,2,1,3,2,0,0,3,0,1.0,0.5,1.5,1.0,1.5,18,27.6,55.5,2,22,180,2.0,2,2,4,2,0,0,1,0,1.0,1.0,2.0,1.0,2.0,24,6,25.0,12.0,3.0,0.08,0.33,28,8,28.6,14.0,4.0,0.07,0.25,90,100,83,12,10,16,20,1.5,2,2,0,0.0,90,100,83,13,9,28,21,1.5,2,2,0,0.0,0,17,18,1,16,24,20,,,0,0,18,15,0,35,20,31,,,0,2,2,180,2,1.0,8,6,75.0,1,0,1,1,50.0,0,0,0,0,,2,2,180,2,1.0,6,4,66.7,1,0,1,0,0.0,0,0,0,0,
Ecuador,Ecuador,18,27.5,63.5,2,22,180,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,18,28.0,36.5,2,22,180,2.0,1,1,2,1,0,0,8,0,0.5,0.5,1.0,0.5,1.0,39,16,41.0,19.5,8.0,0.0,0.0,25,7,28.0,12.5,3.5,0.04,0.14,90,100,82,14,8,23,22,0.5,0,1,-1,-0.5,90,100,82,12,10,16,20,2.0,1,0,1,0.5,0,20,18,1,46,20,25,,,0,0,20,20,2,8,19,16,,,0,2,2,180,1,0.5,7,6,85.7,0,1,1,1,50.0,0,0,0,0,,2,2,180,0,0.0,16,16,100.0,1,1,0,2,100.0,0,0,0,0,
Egypt,Egypt,19,29.6,51.0,2,22,180,2.0,4,4,8,4,0,0,3,0,2.0,2.0,4.0,2.0,4.0,19,29.2,49.0,2,22,180,2.0,1,1,2,1,0,0,4,0,0.5,0.5,1.0,0.5,1.0,33,10,30.3,16.5,5.0,0.12,0.4,26,8,30.8,13.0,4.0,0.04,0.13,90,100,83,12,11,14,19,2.0,4,2,2,1.0,90,100,83,12,10,17,19,0.5,2,4,-2,-1.0,0,23,27,1,35,19,30,,,1,0,29,23,3,31,15,16,,,0,2,2,180,2,1.0,9,7,77.8,1,1,0,0,0.0,0,0,0,0,,2,2,180,4,2.0,10,6,60.0,0,1,1,0,0.0,0,0,0,0,
England,England,17,27.0,65.5,2,22,180,2.0,4,3,7,3,1,1,1,0,2.0,1.5,3.5,1.5,3.0,17,28.0,34.5,2,22,180,2.0,2,2,4,2,0,0,1,0,1.0,1.0,2.0,1.0,2.0,41,14,34.1,20.5,7.0,0.07,0.21,12,6,50.0,6.0,3.0,0.17,0.33,90,100,83,12,10,17,19,2.0,4,2,2,1.0,90,100,83,14,9,18,21,0.5,2,4,-2,-1.0,0,24,36,2,43,8,14,,,0,0,36,23,3,18,15,24,,,0,2,2,180,2,1.0,5,3,60.0,1,1,0,1,50.0,0,0,0,0,,2,2,180,4,2.0,14,10,71.4,0,1,1,1,50.0,1,1,0,0,0.0
France,France,18,27.4,55.0,2,22,180,2.0,6,5,11,6,0,0,0,0,3.0,2.5,5.5,3.0,5.5,18,27.6,45.0,2,22,180,2.0,1,1,2,1,0,0,1,0,0.5,0.5,1.0,0.5,1.0,30,13,43.3,15.0,6.5,0.2,0.46,10,2,20.0,5.0,1.0,0.1,0.5,90,100,86,15,7,11,23,3.0,6,1,5,2.5,90,100,86,12,10,22,20,0.0,1,6,-5,-2.5,0,13,12,2,23,12,23,,,0,0,13,13,3,18,19,18,,,0,2,2,180,1,0.5,3,2,66.7,2,0,0,1,50.0,0,0,0,0,,2,2,180,6,3.0,13,7,53.8,0,0,2,0,0.0,0,0,0,0,
Germany,Germany,18,28.1,62.0,2,22,180,2.0,9,8,17,8,1,1,0,0,4.5,4.0,8.5,4.0,8.0,18,27.1,38.0,2,22,180,2.0,2,0,2,2,0,0,0,0,1.0,0.0,1.0,1.0,1.0,42,19,45.2,21.0,9.5,0.19,0.42,17,4,23.5,8.5,2.0,0.12,0.5,90,100,79,12,10,23,20,3.0,9,2,7,3.5,90,100,79,14,8,18,22,0.0,2,9,-7,-3.5,0,23,16,0,33,17,30,,,0,0,18,23,2,16,29,18,,,0,2,2,180,2,1.0,4,2,50.0,2,0,0,0,0.0,0,0,0,0,,2,2,180,9,4.5,18,9,50.0,0,0,2,0,0.0,1,1,0,0,0.0
Ghana,Ghana,20,27.2,29.5,2,22,180,2.0,1,0,1,1,0,0,2,0,0.5,0.0,0.5,0.5,0.5,20,28.1,70.5,2,22,180,2.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,10,3,30.0,5.0,1.5,0.1,0.33,30,7,23.3,15.0,3.5,0.0,0.0,90,100,82,14,9,20,20,2.0,1,0,1,0.5,90,100,82,13,9,19,21,0.5,0,1,-1,-0.5,0,33,24,6,21,16,26,,,0,0,25,33,3,51,6,18,,,0,2,2,180,0,0.0,7,7,100.0,1,1,0,2,100.0,0,0,0,0,,2,2,180,1,0.5,3,2,66.7,0,1,1,1,50.0,0,0,0,0,
Haiti,Haiti,18,28.9,42.7,3,33,270,3.0,1,1,2,1,0,0,7,0,0.33,0.33,0.67,0.33,0.67,18,28.6,57.3,3,33,270,3.0,8,5,13,8,0,0,4,0,2.67,1.67,4.33,2.67,4.33,31,7,22.6,10.33,2.33,0.03,0.14,39,18,46.2,13.0,6.0,0.21,0.44,90,100,82,20,13,21,32,0.0,2,8,-6,-2.0,90,100,82,18,15,18,29,3.0,8,2,6,2.0,0,55,44,7,37,29,28,,,0,0,44,53,14,45,23,26,,,1,3,3,270,8,2.67,19,11,57.9,0,0,3,0,0.0,0,0,0,0,,3,3,270,2,0.67,8,6,75.0,3,0,0,2,66.7,0,0,0,0,
